"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"6/4/2024","6/4/2024","6/5/2024","QQQ","QQQ 6/5/2024 Call $458.00","STO","1","$0.39","$38.95"
"6/3/2024","6/3/2024","6/4/2024","QQQ","Option Expiration for QQQ 6/3/2024 Call $457.00","OEXP","1","",""
"6/3/2024","6/3/2024","6/4/2024","QQQ","QQQ 6/3/2024 Call $457.00","STO","1","$0.20","$19.95"
"5/31/2024","5/31/2024","5/31/2024","","Interest Payment","INT","","","$1.85"
"5/31/2024","5/31/2024","6/3/2024","QQQ","Option Expiration for QQQ 5/31/2024 Call $454.00","OEXP","1","",""
"5/31/2024","5/31/2024","6/3/2024","QQQ","QQQ 5/31/2024 Call $454.00","STO","1","$0.03","$2.95"
"5/30/2024","5/30/2024","5/31/2024","QQQ","Option Expiration for QQQ 5/30/2024 Call $457.00","OEXP","1","",""
"5/30/2024","5/30/2024","5/31/2024","QQQ","QQQ 5/30/2024 Call $457.00","STO","1","$0.10","$9.95"
"5/29/2024","5/29/2024","5/30/2024","QQQ","Option Expiration for QQQ 5/29/2024 Call $461.00","OEXP","1","",""
"5/29/2024","5/29/2024","5/30/2024","QQQ","QQQ 5/29/2024 Call $461.00","STO","1","$0.08","$7.95"
"5/28/2024","5/28/2024","5/29/2024","QQQ","Option Expiration for QQQ 5/28/2024 Call $461.00","OEXP","1","",""
"5/28/2024","5/28/2024","5/29/2024","QQQ","QQQ 5/28/2024 Call $461.00","STO","1","$0.10","$9.95"
"5/24/2024","5/24/2024","5/28/2024","QQQ","Option Expiration for QQQ 5/24/2024 Call $459.00","OEXP","1","",""
"5/24/2024","5/24/2024","5/28/2024","QQQ","QQQ 5/24/2024 Call $459.00","STO","1","$0.13","$12.95"
"5/23/2024","5/23/2024","5/24/2024","QQQ","Option Expiration for QQQ 5/23/2024 Call $463.00","OEXP","1","",""
"5/23/2024","5/23/2024","5/24/2024","QQQ","QQQ 5/23/2024 Call $463.00","STO","1","$0.11","$10.95"
"5/22/2024","5/22/2024","5/23/2024","QQQ","Option Expiration for QQQ 5/22/2024 Call $460.00","OEXP","1","",""
"5/22/2024","5/22/2024","5/23/2024","QQQ","QQQ 5/22/2024 Call $460.00","STO","1","$0.66","$65.95"
"5/21/2024","5/21/2024","5/22/2024","QQQ","Option Expiration for QQQ 5/21/2024 Call $457.00","OEXP","1","",""
"5/21/2024","5/21/2024","5/22/2024","QQQ","QQQ 5/21/2024 Call $457.00","STO","1","$0.06","$5.95"
"5/20/2024","5/20/2024","5/21/2024","QQQ","Option Expiration for QQQ 5/20/2024 Call $457.00","OEXP","1","",""
"5/20/2024","5/20/2024","5/21/2024","QQQ","QQQ 5/20/2024 Call $457.00","STO","1","$0.09","$8.95"
"5/17/2024","5/17/2024","5/20/2024","","ACH Withdrawal","ACH","","","($468.17)"
"5/16/2024","5/16/2024","5/17/2024","QQQ","QQQ 5/16/2024 Put $454.00","OASGN","1","",""
"5/16/2024","5/16/2024","5/20/2024","QQQ","Invesco QQQ
CUSIP: 46090E103
1 QQQ Option Assigned","Buy","100","$454.00","($45,400.00)"
"5/16/2024","5/16/2024","5/17/2024","QQQ","QQQ 5/16/2024 Put $454.00","STO","1","$1.01","$100.95"
"5/16/2024","5/16/2024","5/17/2024","","ACH Deposit","ACH","","","$500.00"
"5/15/2024","5/15/2024","5/16/2024","QQQ","QQQ 5/15/2024 Call $452.00","OASGN","1","",""
"5/15/2024","5/15/2024","5/17/2024","QQQ","Invesco QQQ
CUSIP: 46090E103
1 QQQ Option Assigned","Sell","100","$452.00","$45,199.61"
"5/15/2024","5/15/2024","5/16/2024","QQQ","QQQ 5/15/2024 Call $452.00","STO","1","$0.16","$15.95"
"5/14/2024","5/14/2024","5/15/2024","QQQ","Option Expiration for QQQ 5/14/2024 Call $447.00","OEXP","1","",""
"5/14/2024","5/14/2024","5/15/2024","QQQ","QQQ 5/14/2024 Call $447.00","STO","1","$0.09","$8.95"
"5/13/2024","5/13/2024","5/14/2024","QQQ","Option Expiration for QQQ 5/13/2024 Call $446.00","OEXP","1","",""
"5/13/2024","5/13/2024","5/14/2024","QQQ","QQQ 5/13/2024 Call $446.00","STO","1","$0.04","$3.95"
"5/10/2024","5/10/2024","5/13/2024","QQQ","Option Expiration for QQQ 5/10/2024 Call $447.50","OEXP","1","",""
"5/10/2024","5/10/2024","5/13/2024","QQQ","QQQ 5/10/2024 Call $447.50","STO","1","$0.07","$6.95"
"5/9/2024","5/9/2024","5/10/2024","QQQ","Option Expiration for QQQ 5/9/2024 Call $444.00","OEXP","1","",""
"5/9/2024","5/9/2024","5/10/2024","QQQ","QQQ 5/9/2024 Call $444.00","STO","1","$0.07","$6.95"
"5/8/2024","5/8/2024","5/9/2024","QQQ","Option Expiration for QQQ 5/8/2024 Call $443.00","OEXP","1","",""
"5/8/2024","5/8/2024","5/9/2024","QQQ","QQQ 5/8/2024 Call $443.00","STO","1","$0.09","$8.95"
"5/7/2024","5/7/2024","5/8/2024","QQQ","Option Expiration for QQQ 5/7/2024 Call $445.00","OEXP","1","",""
"5/7/2024","5/7/2024","5/8/2024","QQQ","QQQ 5/7/2024 Call $445.00","STO","1","$0.07","$6.95"
"5/6/2024","5/6/2024","5/7/2024","QQQ","Option Expiration for QQQ 5/6/2024 Call $440.00","OEXP","1","",""
"5/6/2024","5/6/2024","5/6/2024","QQQ","Stock Lending","SLIP","","","$0.01"
"5/6/2024","5/6/2024","5/7/2024","QQQ","QQQ 5/6/2024 Call $440.00","STO","1","$0.09","$8.95"
"5/3/2024","5/3/2024","5/6/2024","QQQ","Option Expiration for QQQ 5/3/2024 Call $438.00","OEXP","1","",""
"5/3/2024","5/3/2024","5/6/2024","","ACH Withdrawal","ACH","","","($8,967.76)"
"5/3/2024","5/3/2024","5/6/2024","QQQ","QQQ 5/3/2024 Call $438.00","STO","1","$0.15","$14.95"
"5/2/2024","5/2/2024","5/3/2024","QQQ","Option Expiration for QQQ 5/2/2024 Call $435.00","OEXP","1","",""
"5/2/2024","5/2/2024","5/3/2024","QQQ","QQQ 5/2/2024 Call $435.00","STO","1","$0.01","$0.95"
"5/1/2024","5/1/2024","5/2/2024","QQQ","Option Expiration for QQQ 5/1/2024 Call $435.00","OEXP","1","",""
"5/1/2024","5/1/2024","5/2/2024","QQQ","QQQ 5/1/2024 Call $435.00","STO","1","$0.03","$2.95"
"4/30/2024","4/30/2024","4/30/2024","","Interest Payment","INT","","","$20.92"
"4/30/2024","4/30/2024","5/1/2024","QQQ","Option Expiration for QQQ 4/30/2024 Call $435.00","OEXP","1","",""
"4/30/2024","4/30/2024","4/30/2024","QQQ","Cash Div: R/D 2024-03-19 P/D 2024-04-30 - 100 shares at 0.57345","CDIV","","","$57.35"
"4/30/2024","4/30/2024","5/1/2024","QQQ","QQQ 4/30/2024 Call $435.00","STO","1","$0.30","$29.95"
"4/29/2024","4/29/2024","4/30/2024","QQQ","Option Expiration for QQQ 4/29/2024 Call $436.00","OEXP","1","",""
"4/29/2024","4/29/2024","4/30/2024","QQQ","QQQ 4/29/2024 Call $436.00","STO","1","$0.11","$10.95"
"4/26/2024","4/26/2024","4/29/2024","QQQ","Option Expiration for QQQ 4/26/2024 Call $435.00","OEXP","1","",""
"4/26/2024","4/26/2024","4/29/2024","QQQ","QQQ 4/26/2024 Call $435.00","STO","1","$0.21","$20.95"
"4/24/2024","4/24/2024","4/25/2024","QQQ","Option Expiration for QQQ 4/24/2024 Call $435.00","OEXP","1","",""
"4/24/2024","4/24/2024","4/25/2024","QQQ","QQQ 4/24/2024 Call $435.00","STO","1","$0.03","$2.95"
"4/18/2024","4/18/2024","4/19/2024","QQQ","Option Expiration for QQQ 4/18/2024 Call $435.00","OEXP","1","",""
"4/18/2024","4/18/2024","4/19/2024","QQQ","QQQ 4/18/2024 Call $435.00","STO","1","$0.02","$1.95"
"4/17/2024","4/17/2024","4/18/2024","QQQ","Option Expiration for QQQ 4/17/2024 Call $435.00","OEXP","1","",""
"4/17/2024","4/17/2024","4/18/2024","QQQ","QQQ 4/17/2024 Call $435.00","STO","1","$0.01","$0.95"
"4/16/2024","4/16/2024","4/17/2024","QQQ","Option Expiration for QQQ 4/16/2024 Call $435.00","OEXP","1","",""
"4/16/2024","4/16/2024","4/17/2024","QQQ","QQQ 4/16/2024 Call $435.00","STO","1","$0.44","$43.95"
"4/15/2024","4/15/2024","4/16/2024","QQQ","QQQ 4/15/2024 Put $435.00","OASGN","1","",""
"4/15/2024","4/15/2024","4/17/2024","QQQ","Invesco QQQ
CUSIP: 46090E103
1 QQQ Option Assigned","Buy","100","$435.00","($43,500.00)"
"4/15/2024","4/15/2024","4/16/2024","QQQ","QQQ 4/15/2024 Put $435.00","STO","1","$0.29","$28.95"
"4/12/2024","4/12/2024","4/15/2024","QQQ","Option Expiration for QQQ 4/12/2024 Put $437.50","OEXP","1","",""
"4/12/2024","4/12/2024","4/15/2024","QQQ","QQQ 4/12/2024 Put $437.50","STO","1","$0.71","$70.95"
"4/11/2024","4/11/2024","4/12/2024","QQQ","Option Expiration for QQQ 4/11/2024 Put $438.00","OEXP","1","",""
"4/11/2024","4/11/2024","4/12/2024","QQQ","QQQ 4/11/2024 Put $438.00","STO","1","$0.53","$52.95"
"4/10/2024","4/10/2024","4/11/2024","QQQ","Option Expiration for QQQ 4/10/2024 Put $435.00","OEXP","1","",""
"4/10/2024","4/10/2024","4/11/2024","QQQ","QQQ 4/10/2024 Put $435.00","STO","1","$0.58","$57.95"
"4/9/2024","4/9/2024","4/10/2024","QQQ","QQQ 4/9/2024 Call $442.00","OASGN","1","",""
"4/9/2024","4/9/2024","4/11/2024","QQQ","Invesco QQQ
CUSIP: 46090E103
1 QQQ Option Assigned","Sell","100","$442.00","$44,199.62"
"4/9/2024","4/9/2024","4/10/2024","QQQ","QQQ 4/9/2024 Call $442.00","STO","1","$0.14","$13.95"
"4/8/2024","4/8/2024","4/9/2024","QQQ","Option Expiration for QQQ 4/8/2024 Call $443.00","OEXP","1","",""
"4/8/2024","4/8/2024","4/9/2024","QQQ","QQQ 4/8/2024 Call $443.00","STO","1","$0.15","$14.95"
"4/5/2024","4/5/2024","4/8/2024","QQQ","Option Expiration for QQQ 4/5/2024 Call $441.00","OEXP","1","",""
"4/5/2024","4/5/2024","4/5/2024","QQQ","Stock Lending","SLIP","","","$0.01"
"4/5/2024","4/5/2024","4/8/2024","QQQ","QQQ 4/5/2024 Call $441.00","STO","1","$0.30","$29.95"
"4/4/2024","4/4/2024","4/5/2024","QQQ","Option Expiration for QQQ 4/4/2024 Call $448.00","OEXP","1","",""
"4/4/2024","4/4/2024","4/5/2024","QQQ","QQQ 4/4/2024 Call $448.00","STO","1","$0.08","$7.95"
"4/3/2024","4/3/2024","4/4/2024","QQQ","Option Expiration for QQQ 4/3/2024 Call $445.00","OEXP","1","",""
"4/3/2024","4/3/2024","4/4/2024","QQQ","QQQ 4/3/2024 Call $445.00","STO","1","$0.11","$10.95"
"4/2/2024","4/2/2024","4/3/2024","QQQ","Option Expiration for QQQ 4/2/2024 Call $443.00","OEXP","1","",""
"4/2/2024","4/2/2024","4/3/2024","QQQ","QQQ 4/2/2024 Call $443.00","STO","1","$0.04","$3.95"
"4/1/2024","4/1/2024","4/2/2024","QQQ","Option Expiration for QQQ 4/1/2024 Call $448.00","OEXP","1","",""
"4/1/2024","4/1/2024","4/2/2024","QQQ","QQQ 4/1/2024 Call $448.00","STO","1","$0.06","$5.95"
"3/28/2024","3/28/2024","3/28/2024","","Interest Payment","INT","","","$9.65"
"3/28/2024","3/28/2024","4/1/2024","QQQ","Option Expiration for QQQ 3/28/2024 Call $449.00","OEXP","1","",""
"3/28/2024","3/28/2024","4/1/2024","QQQ","QQQ 3/28/2024 Call $449.00","STO","1","$0.04","$3.95"
"3/27/2024","3/27/2024","3/28/2024","QQQ","Option Expiration for QQQ 3/27/2024 Call $446.00","OEXP","1","",""
"3/27/2024","3/27/2024","3/28/2024","QQQ","QQQ 3/27/2024 Call $446.00","STO","1","$0.04","$3.95"
"3/26/2024","3/26/2024","3/27/2024","QQQ","Option Expiration for QQQ 3/26/2024 Call $449.00","OEXP","1","",""
"3/26/2024","3/26/2024","3/27/2024","QQQ","QQQ 3/26/2024 Call $449.00","STO","1","$0.05","$4.95"
"3/25/2024","3/25/2024","3/26/2024","QQQ","Option Expiration for QQQ 3/25/2024 Call $447.00","OEXP","1","",""
"3/25/2024","3/25/2024","3/26/2024","QQQ","QQQ 3/25/2024 Call $447.00","STO","1","$0.10","$9.95"
"3/22/2024","3/22/2024","3/25/2024","QQQ","Option Expiration for QQQ 3/22/2024 Call $449.00","OEXP","1","",""
"3/22/2024","3/22/2024","3/25/2024","QQQ","QQQ 3/22/2024 Call $449.00","STO","1","$0.04","$3.95"
"3/21/2024","3/21/2024","3/22/2024","QQQ","Option Expiration for QQQ 3/21/2024 Call $452.00","OEXP","1","",""
"3/21/2024","3/21/2024","3/22/2024","QQQ","QQQ 3/21/2024 Call $452.00","STO","1","$0.11","$10.95"
"3/20/2024","3/20/2024","3/21/2024","QQQ","Option Expiration for QQQ 3/20/2024 Call $445.00","OEXP","1","",""
"3/20/2024","3/20/2024","3/21/2024","QQQ","QQQ 3/20/2024 Call $445.00","STO","1","$0.14","$13.95"
"3/19/2024","3/19/2024","3/20/2024","QQQ","Option Expiration for QQQ 3/19/2024 Call $440.00","OEXP","1","",""
"3/19/2024","3/19/2024","3/20/2024","QQQ","QQQ 3/19/2024 Call $440.00","STO","1","$0.04","$3.95"
"3/18/2024","3/18/2024","3/19/2024","QQQ","Option Expiration for QQQ 3/18/2024 Call $444.00","OEXP","1","",""
"3/18/2024","3/18/2024","3/19/2024","QQQ","QQQ 3/18/2024 Call $444.00","STO","1","$0.17","$16.95"
"3/15/2024","3/15/2024","3/18/2024","QQQ","Option Expiration for QQQ 3/15/2024 Call $442.00","OEXP","1","",""
"3/15/2024","3/15/2024","3/18/2024","QQQ","QQQ 3/15/2024 Call $442.00","STO","1","$0.04","$3.95"
"3/14/2024","3/14/2024","3/15/2024","QQQ","Option Expiration for QQQ 3/14/2024 Call $444.00","OEXP","1","",""
"3/14/2024","3/14/2024","3/15/2024","QQQ","QQQ 3/14/2024 Call $444.00","STO","1","$0.13","$12.95"
"3/13/2024","3/13/2024","3/14/2024","QQQ","Option Expiration for QQQ 3/13/2024 Call $445.00","OEXP","1","",""
"3/13/2024","3/13/2024","3/14/2024","QQQ","QQQ 3/13/2024 Call $445.00","STO","1","$0.06","$5.95"
"3/12/2024","3/12/2024","3/13/2024","QQQ","Option Expiration for QQQ 3/12/2024 Call $444.00","OEXP","1","",""
"3/12/2024","3/12/2024","3/13/2024","QQQ","QQQ 3/12/2024 Call $444.00","STO","1","$0.15","$14.95"
"3/11/2024","3/11/2024","3/12/2024","QQQ","Option Expiration for QQQ 3/11/2024 Call $441.00","OEXP","1","",""
"3/11/2024","3/11/2024","3/12/2024","QQQ","QQQ 3/11/2024 Call $441.00","STO","1","$0.16","$15.95"
"3/8/2024","3/8/2024","3/11/2024","QQQ","Option Expiration for QQQ 3/8/2024 Call $451.00","OEXP","1","",""
"3/8/2024","3/8/2024","3/11/2024","QQQ","QQQ 3/8/2024 Call $451.00","STO","1","$0.10","$9.95"
"3/7/2024","3/7/2024","3/8/2024","QQQ","Option Expiration for QQQ 3/7/2024 Call $448.00","OEXP","1","",""
"3/7/2024","3/7/2024","3/7/2024","QQQ","Stock Lending","SLIP","","","$0.01"
"3/7/2024","3/7/2024","3/8/2024","QQQ","QQQ 3/7/2024 Call $448.00","STO","1","$0.08","$7.95"
"3/6/2024","3/6/2024","3/7/2024","QQQ","Option Expiration for QQQ 3/6/2024 Call $445.00","OEXP","1","",""
"3/6/2024","3/6/2024","3/7/2024","QQQ","QQQ 3/6/2024 Call $445.00","STO","1","$0.21","$20.95"
"3/5/2024","3/5/2024","3/6/2024","QQQ","Option Expiration for QQQ 3/5/2024 Call $441.00","OEXP","1","",""
"3/5/2024","3/5/2024","3/6/2024","QQQ","QQQ 3/5/2024 Call $441.00","STO","1","$0.12","$11.95"
"3/1/2024","3/1/2024","3/4/2024","QQQ","Option Expiration for QQQ 3/1/2024 Call $446.00","OEXP","1","",""
"3/1/2024","3/1/2024","3/4/2024","QQQ","QQQ 3/1/2024 Call $446.00","STO","1","$0.07","$6.95"
"2/29/2024","2/29/2024","2/29/2024","","Interest Payment","INT","","","$10.56"
"2/28/2024","2/28/2024","2/29/2024","QQQ","Option Expiration for QQQ 2/28/2024 Call $438.00","OEXP","1","",""
"2/28/2024","2/28/2024","2/29/2024","QQQ","QQQ 2/28/2024 Call $438.00","STO","1","$0.16","$15.95"
"2/27/2024","2/27/2024","2/28/2024","QQQ","Option Expiration for QQQ 2/27/2024 Call $440.00","OEXP","1","",""
"2/27/2024","2/27/2024","2/28/2024","QQQ","QQQ 2/27/2024 Call $440.00","STO","1","$0.20","$19.95"
"2/26/2024","2/26/2024","2/27/2024","QQQ","Option Expiration for QQQ 2/26/2024 Call $441.00","OEXP","1","",""
"2/26/2024","2/26/2024","2/27/2024","QQQ","QQQ 2/26/2024 Call $441.00","STO","1","$0.05","$4.95"
"2/23/2024","2/23/2024","2/26/2024","QQQ","Option Expiration for QQQ 2/23/2024 Call $440.00","OEXP","1","",""
"2/23/2024","2/23/2024","2/26/2024","QQQ","QQQ 2/23/2024 Call $440.00","STO","1","$0.13","$12.95"
"2/22/2024","2/22/2024","2/23/2024","QQQ","Option Expiration for QQQ 2/22/2024 Call $438.00","OEXP","1","",""
"2/22/2024","2/22/2024","2/23/2024","QQQ","QQQ 2/22/2024 Call $438.00","STO","1","$0.51","$50.95"
"2/12/2024","2/12/2024","2/13/2024","QQQ","QQQ 2/12/2024 Put $438.00","OASGN","1","",""
"2/12/2024","2/12/2024","2/14/2024","QQQ","Invesco QQQ
CUSIP: 46090E103
1 QQQ Option Assigned","Buy","100","$438.00","($43,800.00)"
"2/12/2024","2/12/2024","2/13/2024","QQQ","QQQ 2/12/2024 Put $438.00","STO","1","$0.89","$88.95"
"2/9/2024","2/9/2024","2/12/2024","QQQ","QQQ 2/9/2024 Call $437.00","OASGN","1","",""
"2/9/2024","2/9/2024","2/13/2024","QQQ","Invesco QQQ
CUSIP: 46090E103
1 QQQ Option Assigned","Sell","100","$437.00","$43,699.63"
"2/9/2024","2/9/2024","2/12/2024","QQQ","QQQ 2/9/2024 Call $437.00","STO","1","$0.23","$22.95"
"2/8/2024","2/8/2024","2/9/2024","QQQ","Option Expiration for QQQ 2/8/2024 Call $434.00","OEXP","1","",""
"2/8/2024","2/8/2024","2/9/2024","QQQ","QQQ 2/8/2024 Call $434.00","STO","1","$0.45","$44.95"
"2/7/2024","2/7/2024","2/8/2024","QQQ","Option Expiration for QQQ 2/7/2024 Call $433.00","OEXP","1","",""
"2/7/2024","2/7/2024","2/8/2024","QQQ","QQQ 2/7/2024 Call $433.00","STO","1","$0.31","$30.95"
"2/6/2024","2/6/2024","2/7/2024","QQQ","Option Expiration for QQQ 2/6/2024 Call $430.00","OEXP","1","",""
"2/6/2024","2/6/2024","2/7/2024","QQQ","QQQ 2/6/2024 Call $430.00","STO","1","$0.16","$15.95"
"2/5/2024","2/5/2024","2/6/2024","QQQ","Option Expiration for QQQ 2/5/2024 Call $431.00","OEXP","1","",""
"2/5/2024","2/5/2024","2/6/2024","QQQ","QQQ 2/5/2024 Call $431.00","STO","1","$0.06","$5.95"
"2/2/2024","2/2/2024","2/5/2024","QQQ","Option Expiration for QQQ 2/2/2024 Call $430.00","OEXP","1","",""
"2/2/2024","2/2/2024","2/5/2024","QQQ","QQQ 2/2/2024 Call $430.00","STO","1","$0.14","$13.95"
"2/1/2024","2/1/2024","2/2/2024","QQQ","Option Expiration for QQQ 2/1/2024 Call $428.00","OEXP","1","",""
"2/1/2024","2/1/2024","2/2/2024","QQQ","QQQ 2/1/2024 Call $428.00","STO","1","$0.02","$1.95"
"1/31/2024","1/31/2024","1/31/2024","","Interest Payment","INT","","","$18.80"
"1/31/2024","1/31/2024","1/31/2024","SPY","Cash Div: R/D 2023-12-18 P/D 2024-01-31 - 100 shares at 1.906073","CDIV","","","$190.61"
"1/30/2024","1/30/2024","1/31/2024","QQQ","QQQ 1/30/2024 Put $428.00","OASGN","1","",""
"1/30/2024","1/30/2024","2/1/2024","QQQ","Invesco QQQ
CUSIP: 46090E103
1 QQQ Option Assigned","Buy","100","$428.00","($42,800.00)"
"1/30/2024","1/30/2024","1/31/2024","QQQ","QQQ 1/30/2024 Put $428.00","STO","1","$1.78","$177.95"
"1/29/2024","1/29/2024","1/30/2024","SPY","SPY 1/29/2024 Call $488.00","OASGN","1","",""
"1/29/2024","1/29/2024","1/31/2024","SPY","SPDR S&P 500 ETF
CUSIP: 78462F103
1 SPY Option Assigned","Sell","100","$488.00","$48,799.58"
"1/29/2024","1/29/2024","1/30/2024","SPY","SPY 1/29/2024 Call $488.00","STO","1","$0.49","$48.95"
"1/26/2024","1/26/2024","1/29/2024","SPY","Option Expiration for SPY 1/26/2024 Call $490.00","OEXP","1","",""
"1/26/2024","1/26/2024","1/29/2024","SPY","SPY 1/26/2024 Call $490.00","STO","1","$0.26","$25.95"
"1/25/2024","1/25/2024","1/26/2024","SPY","Option Expiration for SPY 1/25/2024 Call $490.00","OEXP","1","",""
"1/25/2024","1/25/2024","1/26/2024","SPY","SPY 1/25/2024 Call $490.00","STO","1","$0.16","$15.95"
"1/24/2024","1/24/2024","1/25/2024","SPY","SPY 1/24/2024 Put $487.00","OASGN","1","",""
"1/24/2024","1/24/2024","1/26/2024","SPY","SPDR S&P 500 ETF
CUSIP: 78462F103
1 SPY Option Assigned","Buy","100","$487.00","($48,700.00)"
"1/24/2024","1/24/2024","1/25/2024","SPY","SPY 1/24/2024 Put $487.00","STO","1","$0.81","$80.95"
